site,extra,pair,detector_date,ncalls,qual,date,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA,Hab05km,Hab10km,Hab15km,Hab20km,Hab25km,Hab30km,Hab35km,Hab40km,Hab45km,Hab50km,Hab55km,Hab60km,bug_count,min_temp,mean_temp
JPHRP,0,1,SM3_20110725,1029,32.51168093,20110725,0,24,0,0,1,0,5,0,5,3,0,3,66,0,1,108,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,4.4,15.1,21.74806202
JPHRP,0,1,SM3_20110726,1245,37.82456089,20110726,4,24,0,0,2,0,10,0,1,3,0,9,70,0,3,126,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,4.4,20.1,24.22093023
JPHRP,0,1,SM3_20110727,990,33.80412049,20110727,0,30,1,0,2,1,9,1,1,3,1,6,50,0,2,107,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,4.4,15.8,22.83538462
HOCRR,0,0,SM3_20110728,141,4.990509022,20110728,0,0,0,0,2,0,0,0,0,0,0,1,8,0,2,13,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,89.6,19.1,24.23076923
HOCRR,0,0,SM3_20110729,30,2.062,20110729,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,89.6,19.6,23.79461538
HOCRR,0,0,SM3_20110730,353,14.77262531,20110730,0,7,0,0,0,0,0,0,0,0,0,1,25,0,6,39,0,0.32,0.41,0.46,0.53,0.58,0.62,0.65,0.67,0.68,0.7,0.71,89.6,18.9,23.12137405
COHOR,0,0,SM3_20110803,389,25.78162178,20110803,0,8,0,0,9,3,0,0,0,0,0,46,1,0,2,69,,,,,,,,,,,,,,19.4,23.27575758
COHOR,0,0,SM3_20110804,555,25.6758982,20110804,1,14,0,0,13,3,0,0,0,0,0,32,4,0,1,68,,,,,,,,,,,,,,18.9,22.95037594
COHOR,0,0,SM3_20110805,614,24.10902384,20110805,0,13,0,0,8,3,0,0,0,1,0,29,9,0,2,65,,,,,,,,,,,,,,18.4,23.08571429
GRYOR,0,0,SM3_20110806,71,3.198206711,20110806,2,0,0,0,1,1,0,0,0,0,0,5,0,0,0,9,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,2.2,18.6,23.33308271
