,site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818
211,NCTCR,20110720,SM2_20110720,20110714,20110714,20110802,20110818,10.6,18.399999999999999,11.0
212,NCTCR,20110813,SM5_20110813,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0
213,NCTCR,20110814,SM5_20110814,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0
214,NCTCR,20110815,SM5_20110815,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0
215,NCTCR,20110816,SM5_20110816,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0
216,PIKAP,20110813,SM1_20110813,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
217,PIKAP,20110814,SM1_20110814,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
218,PIKAP,20110815,SM1_20110815,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
219,PIKAP,20110816,SM1_20110816,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
220,PIKAP,20110717,SM6_20110717,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
221,PIKAP,20110718,SM6_20110718,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
222,PIKAP,20110719,SM6_20110719,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
223,PIKAP,20110720,SM6_20110720,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
224,PIKAR,20110813,SM2_20110813,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
225,PIKAR,20110814,SM2_20110814,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
226,PIKAR,20110815,SM2_20110815,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
227,PIKAR,20110816,SM2_20110816,20110818,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
228,PIKAR,20110717,SM5_20110717,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
229,PIKAR,20110718,SM5_20110718,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
230,PIKAR,20110719,SM5_20110719,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
231,PIKAR,20110720,SM5_20110720,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999
232,RILAR,20110728,SM1_20110728,20110802,20110714,20110802,20110818,19.0,29.199999999999999,14.0
233,RILAR,20110729,SM1_20110729,20110802,20110714,20110802,20110818,19.0,29.199999999999999,14.0
234,RILAR,20110730,SM1_20110730,20110802,20110714,20110802,20110818,19.0,29.199999999999999,14.0
235,RILAR,20110731,SM1_20110731,20110802,20110714,20110802,20110818,19.0,29.199999999999999,14.0
